Designator,Mid X,Mid Y,Layer,Rotation
C9,2.000000mm,-10.000000mm,Bottom,90.000000
C10,5.000000mm,-7.000000mm,Bottom,0.000000
C11,20.500000mm,-17.500000mm,Bottom,0.000000
C12,2.000000mm,-15.000000mm,Bottom,90.000000
C13,9.000000mm,-2.000000mm,Bottom,0.000000
C14,18.000000mm,-12.500000mm,Bottom,90.000000
C15,20.000000mm,-12.500000mm,Bottom,90.000000
C16,19.000000mm,-10.000000mm,Bottom,0.000000
C17,12.000000mm,-6.500000mm,Bottom,90.000000
C18,21.000000mm,-20.000000mm,Bottom,90.000000
C22,30.000000mm,-11.500000mm,Bottom,90.000000
C23,33.000000mm,-7.000000mm,Bottom,0.000000
C26,21.000000mm,-28.000000mm,Bottom,90.000000
C27,32.000000mm,-34.000000mm,Bottom,0.000000
C28,2.500000mm,-23.500000mm,Bottom,90.000000
C29,4.000000mm,-27.000000mm,Bottom,90.000000
C30,10.000000mm,-25.000000mm,Bottom,90.000000
C31,15.000000mm,-7.000000mm,Bottom,0.000000
C32,7.000000mm,-18.500000mm,Bottom,90.000000
C33,15.000000mm,-18.000000mm,Bottom,0.000000
C34,13.000000mm,-20.500000mm,Bottom,90.000000
C35,18.000000mm,-20.000000mm,Bottom,0.000000
C36,27.000000mm,-20.000000mm,Bottom,0.000000
C37,30.000000mm,-16.500000mm,Bottom,90.000000
C38,29.000000mm,-22.000000mm,Bottom,0.000000
C39,21.000000mm,-34.000000mm,Bottom,90.000000
F2,8.500000mm,-30.500000mm,Bottom,0.000000
Q4,33.000000mm,-3.000000mm,Bottom,0.000000
Q5,38.000000mm,-17.000000mm,Bottom,0.000000
Q6,39.000000mm,-11.000000mm,Bottom,0.000000
R4,17.500000mm,-26.000000mm,Bottom,0.000000
R7,18.000000mm,-17.500000mm,Bottom,90.000000
R16,5.000000mm,-18.500000mm,Bottom,90.000000
R17,19.000000mm,-15.000000mm,Bottom,0.000000
R18,3.000000mm,-18.500000mm,Bottom,90.000000
R19,5.000000mm,-5.000000mm,Bottom,0.000000
R20,14.500000mm,-5.000000mm,Bottom,0.000000
R22,22.000000mm,-11.000000mm,Bottom,90.000000
R23,23.000000mm,-18.500000mm,Bottom,90.000000
R24,23.500000mm,-21.000000mm,Bottom,0.000000
R27,22.000000mm,-23.000000mm,Bottom,0.000000
R28,29.000000mm,-8.000000mm,Bottom,90.000000
R29,26.000000mm,-22.500000mm,Bottom,90.000000
R30,32.500000mm,-13.500000mm,Bottom,0.000000
R31,33.000000mm,-19.500000mm,Bottom,0.000000
R32,32.500000mm,-21.500000mm,Bottom,0.000000
R33,32.000000mm,-24.000000mm,Bottom,90.000000
R34,25.000000mm,-25.000000mm,Bottom,0.000000
R35,24.000000mm,-31.000000mm,Bottom,0.000000
R36,18.500000mm,-28.000000mm,Bottom,0.000000
R37,27.000000mm,-28.500000mm,Bottom,90.000000
R38,27.000000mm,-32.000000mm,Bottom,90.000000
R39,28.000000mm,-34.500000mm,Bottom,0.000000
R40,20.500000mm,-31.000000mm,Bottom,0.000000
U5,5.500000mm,-23.500000mm,Bottom,0.000000
U6,7.000000mm,-27.000000mm,Bottom,0.000000
U7,13.000000mm,-25.000000mm,Bottom,0.000000
U11,5.000000mm,-10.000000mm,Bottom,0.000000
U12,5.000000mm,-15.000000mm,Bottom,0.000000
U13,9.000000mm,-5.000000mm,Bottom,0.000000
U14,10.000000mm,-10.000000mm,Bottom,0.000000
U15,15.000000mm,-10.000000mm,Bottom,0.000000
U16,10.000000mm,-15.000000mm,Bottom,0.000000
U17,15.000000mm,-15.000000mm,Bottom,0.000000
U18,10.000000mm,-20.000000mm,Bottom,0.000000
U19,18.000000mm,-23.000000mm,Bottom,0.000000
U22,27.000000mm,-11.500000mm,Bottom,0.000000
U23,33.000000mm,-10.000000mm,Bottom,0.000000
U24,27.000000mm,-17.000000mm,Bottom,0.000000
U26,33.000000mm,-16.500000mm,Bottom,0.000000
U28,24.000000mm,-28.000000mm,Bottom,0.000000
U29,29.000000mm,-25.000000mm,Bottom,0.000000
U30,32.000000mm,-30.000000mm,Bottom,0.000000
U31,24.000000mm,-34.000000mm,Bottom,0.000000
C1,11.000000mm,-13.500000mm,Top,90.000000
C2,5.000000mm,-6.000000mm,Top,90.000000
C3,8.000000mm,-9.000000mm,Top,0.000000
C4,11.500000mm,-10.000000mm,Top,90.000000
C5,11.000000mm,-23.000000mm,Top,0.000000
C6,16.500000mm,-16.500000mm,Top,0.000000
C7,11.300000mm,-20.000000mm,Top,90.000000
C8,19.200000mm,-20.000000mm,Top,90.000000
C19,25.000000mm,-21.000000mm,Top,90.000000
C20,32.500000mm,-16.500000mm,Top,90.000000
C21,35.500000mm,-16.500000mm,Top,90.000000
C24,22.000000mm,-18.500000mm,Top,0.000000
C25,21.500000mm,-28.000000mm,Top,90.000000
F1,11.500000mm,-6.000000mm,Top,90.000000
J1,22.500000mm,-3.800000mm,Top,180.000000
J2,5.500000mm,-31.000000mm,Top,-90.000000
J3,3.800000mm,-19.000000mm,Top,-90.000000
J4,39.500000mm,-27.000000mm,Top,90.000000
J6,20.000000mm,-36.400000mm,Top,0.000000
L1,31.500000mm,-23.000000mm,Top,90.000000
LED1,7.000000mm,-2.000000mm,Top,0.000000
LED2,30.500000mm,-2.000000mm,Top,0.000000
LED3,30.500000mm,-4.000000mm,Top,0.000000
LED4,30.500000mm,-6.000000mm,Top,0.000000
Q1,14.000000mm,-13.800000mm,Top,0.000000
Q2,12.000000mm,-29.000000mm,Top,180.000000
Q3,15.000000mm,-29.000000mm,Top,0.000000
R1,18.500000mm,-14.000000mm,Top,90.000000
R2,17.000000mm,-10.000000mm,Top,0.000000
R3,9.500000mm,-17.500000mm,Top,90.000000
R5,13.000000mm,-16.500000mm,Top,0.000000
R6,9.000000mm,-14.000000mm,Top,90.000000
R8,8.500000mm,-21.500000mm,Top,90.000000
R9,8.000000mm,-25.500000mm,Top,0.000000
R10,14.000000mm,-25.500000mm,Top,0.000000
R11,15.000000mm,-23.500000mm,Top,0.000000
R12,22.000000mm,-20.500000mm,Top,0.000000
R13,19.000000mm,-23.500000mm,Top,0.000000
R14,17.500000mm,-25.500000mm,Top,0.000000
R15,7.000000mm,-11.500000mm,Top,90.000000
R21,21.000000mm,-25.500000mm,Top,0.000000
R25,27.000000mm,-14.000000mm,Top,0.000000
R26,26.500000mm,-17.000000mm,Top,0.000000
R41,26.500000mm,-11.500000mm,Top,90.000000
R42,30.500000mm,-8.000000mm,Top,0.000000
R43,19.000000mm,-27.500000mm,Top,0.000000
R44,30.500000mm,-10.000000mm,Top,0.000000
R45,29.000000mm,-12.000000mm,Top,0.000000
R46,33.000000mm,-8.000000mm,Top,90.000000
SW1,37.000000mm,-3.500000mm,Top,0.000000
U1,17.000000mm,-14.500000mm,Top,90.000000
U2,18.500000mm,-11.500000mm,Top,0.000000
U3,8.000000mm,-6.000000mm,Top,0.000000
U4,14.000000mm,-10.000000mm,Top,0.000000
U8,9.000000mm,-11.500000mm,Top,0.000000
U9,11.000000mm,-25.000000mm,Top,0.000000
U10,15.000000mm,-20.000000mm,Top,0.000000
U20,29.000000mm,-19.500000mm,Top,0.000000
U21,22.500000mm,-11.500000mm,Top,90.000000
U25,22.500000mm,-16.000000mm,Top,0.000000
U27,24.000000mm,-28.000000mm,Top,0.000000
